name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
Hotel St. James,238,238,False,8.1,Very good,"3,208",2.0,False,"Manhattan, New York",1.2,9.7,1 large double bed,"One Queen Bed Room, Accessible",False,False,True,13,1,2025-02-03
Leon Hotel LES,177,177,False,8.0,Very good,"2,561",3.0,False,"Lower East Side, New York",5.9,,1 extra-large double bed,Deluxe King Room,False,False,True,13,1,2025-02-03
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,183,183,False,7.9,Good,"1,213",3.0,False,"Hell's Kitchen, New York",0.7,,1 extra-large double bed,King Room,True,False,True,13,1,2025-02-03
Hilton Garden Inn West 35th Street,217,217,False,8.2,Very good,"3,056",3.0,False,"Manhattan, New York",2.0,9.5,1 extra-large double bed,King Room with Bath Tub - Mobility Access - Non-Smoking,False,False,True,13,1,2025-02-03
"Thompson Central Park New York, by Hyatt",512,512,False,8.2,Very good,765,5.0,False,"Manhattan, New York",0.5,9.4,1 extra-large double bed,King Room with Accessible Tub - Disability Access,False,False,True,13,1,2025-02-03
Delta Hotels by Marriott New York Times Square,264,264,False,7.8,Good,"4,188",4.0,False,"Hell's Kitchen, New York",1.6,,1 extra-large double bed,King Room,False,False,True,13,1,2025-02-03
The Belvedere Hotel,199,179,True,7.9,Good,"5,920",3.0,False,"Hell's Kitchen, New York",0.9,9.4,1 extra-large double bed,Standard King Room,False,False,True,13,1,2025-02-03
Hilton New York Times Square,271,271,False,7.2,Good,"1,176",4.0,False,"Manhattan, New York",1.4,,1 extra-large double bed,Deluxe King Room - High Floor,False,False,True,13,1,2025-02-03
70 Park Avenue Hotel,197,197,False,8.3,Very good,"2,264",4.0,False,"Murray Hill, New York",2.0,9.5,1 large double bed,Queen Room with mobility Accessible Tub,False,True,False,13,1,2025-02-03
Wingate by Wyndham New York Midtown South/5th Ave,222,222,False,8.4,Very good,"2,384",3.0,False,"Manhattan, New York",1.9,9.5,1 large double bed,Queen Room - Non-Smoking,True,False,True,13,1,2025-02-03
